first_name,last_name,your_school,purchased_school,your_position,purchased_position
Bryan,Nardo,Minnesota,University of North Carolina at Charlotte,Senior Defensive Assistant,Assistant Coach (Safeties)
Roy,Manning,Nebraska,San Diego State University,Assistant Coach - Defensive Edges,Assistant Coach (Edge Rushers)
Brian,Hartline,Ohio State,University of South Florida,Wide Receivers,Head Coach
Chip,Kelly,Ohio State,Northwestern University,Offensive Coordinator,Assistant Coach (Offensive Coordinator)
Jim,Knowles,Ohio State,University of Tennessee,Defensive Coordinator,Assistant Coach (Defensive Coordinator)
Tosh,Lupoi,Oregon,University of California - Berkeley,Defensive Coordinator / Linebackers,Head Coach
Will,Stein,Oregon,University of Kentucky,Offensive Coordinator / Quarterbacks,Head Coach
Savon,Huggins,Penn State,Boston College,Running Backs,Assistant Coach (Running Backs)
Christian,Smith,Penn State,Northwestern University,Edge Rushers,Assistant Coach (Defensive Line)
Tyson,Veidt,Penn State,University of Cincinnati,Linebackers,"Assistant Coach (Defensive Coordinator, Safeties)"
Zach,Crabtree,Purdue,California State University - Fresno,Offensive Line,Assistant Coach (Offensive Line)
Kevin,Kane,Purdue,University of Minnesota,Defensive Coordinator / Linebackers,"Assistant Coach (Nickelbacks, Outside Linebackers)"
Bob,Chesney,UCLA,University of California - Los Angeles - UCLA,Head Coach,Head Coach
Colin,Lockett,UCLA,University of New Mexico,Wide Receivers,Assistant Coach (Wide Receivers)
Chris,Smith,UCLA,Stephen F Austin State University,Offensive Line / Run Game Coordinator,"Assistant Coach (Defensive Backs), Director of Player Development"
Vic,So'oto,UCLA,University of California - Berkeley,Linebackers,"Assistant Coach (Co-Defensive Coordinator, Outside Linebackers)"
A.J.,Steward,UCLA,University of California - Los Angeles - UCLA,Running Backs,Assistant Coach (Running Backs)
Doug,Belk,USC,University of Southern California,Secondary Coach,Assistant Coach (Defensive Backs)
Ryan,Dougherty,USC,University of Southern California,Special Teams Coordinator,Assistant Coach (Special Teams)
Zach,Hanson,USC,University of Southern California,Assistant Head Coach / Offensive Line,"Assistant Head Coach (Offensive Line, Offense)"
Eric,Henderson,USC,University of Southern California,Co-Defensive Coordinator / Defensive Line,"Assistant Coach (Co-Defensive Coordinator, Defensive Line, Defensive Running-Game Coordinator)"
Luke,Huard,USC,University of Southern California,Offensive Coordinator / Quarterbacks,"Assistant Coach (Offensive Coordinator, Quarterbacks)"
Anthony,Jones Jr.,USC,University of Southern California,Running Backs / Run Game Coordinator,"Assistant Coach (Running Backs, Running-Game Coordinator)"
D'Anton,Lynn,USC,Penn State,Defensive Coordinator,Assistant Coach (Defensive Coordinator)
Shaun,Nua,USC,University of Southern California,Defensive End Coach,Assistant Coach (Defensive Ends)
Trovon,Reed,USC,University of Southern California,Cornerbacks Coach,Assistant Coach (Cornerbacks)
Lincoln,Riley,USC,University of Southern California,Head Coach,Head Coach
