first_name,last_name,your_school,purchased_school,your_position,purchased_position
Tim,Albin,Charlotte,University of North Carolina at Charlotte,Head Coach,Head Coach
Tre',Bell,Charlotte,University of North Carolina at Charlotte,Assistant Coach - Cornerbacks/Defensive Pass Game Coordinator,"Assistant Coach (Cornerbacks, Defensive Passing-Game Coordinator)"
Nate,Faanes,Charlotte,University of North Carolina at Charlotte,Defensive Coordinator/Linebackers,"Assistant Coach (Defensive Coordinator, Linebackers)"
Todd,Fitch,Charlotte,University of North Carolina at Charlotte,Associate Head Coach/Offensive Coordinator/Quarterbacks,"Associate Head Coach (Offensive Coordinator, Quarterbacks)"
Brian,Haines,Charlotte,University of North Carolina at Charlotte,Assistant Head Coach/Special Teams Coordinator/Running Backs,"Assistant Head Coach (Running Backs, Special Teams)"
Kurt,Mattix,Charlotte,University of North Carolina at Charlotte,Co-Defensive Coordinator/Defensive Line,"Assistant Coach (Co-Defensive Coordinator, Defensive Line)"
Brian,Metz,Charlotte,University of North Carolina at Charlotte,Assistant Coach/Tight Ends/Recruiting Coordinator,"Recruiting Coordinator, Assistant Coach (Tight Ends)"
Bryan,Nardo,Charlotte,University of North Carolina at Charlotte,Assistant Coach/Safeties,Assistant Coach (Safeties)
Vince,Reynolds,Charlotte,University of North Carolina at Charlotte,Assistant Coach/Defensive Tackles,Assistant Coach (Defensive Tackles)
Allen,Rudolph,Charlotte,University of North Carolina at Charlotte,Assistant Coach/Offensive Line/Run Game Coordinator,Assistant Coach (Offensive Line/Run Game Coordinator
Paul,Turner,Charlotte,University of North Carolina at Charlotte,Assistant Coach - Wide Receivers/Passing Game Coordinator,"Assistant Coach (Wide Receivers, Passing-Game Coordinator)"
Jordan,Davis,East Carolina,University of North Texas,Offensive Coordinator/Quarterbacks,"Assistant Coach (Offensive Coordinator, Wide Receivers)"
Julian,Griffin,East Carolina,University of California - Berkeley,Running Backs,Assistant Coach (Running Backs)
Alex,Huettel,East Carolina,Old Dominion University,Offensive Line/Run Game Coordinator,Assistant Coach (Offensive Line)
Juan,Soto,East Carolina,University of North Texas,Wide Receivers,Assistant Coach (Wide Receivers)
Taylor,Brown,FAU,Florida Atlantic University,Executive Director of Player Personnel,Director of Player Personnel
Brett,Dewhurst,FAU,Florida Atlantic University,Defensive Coordinator,Assistant Coach (Defensive Coordinator)
David,Draper,FAU,Florida Atlantic University,Director of Football Operations,Director of Operations
Jajuan,Dulaney,FAU,Florida Atlantic University,Tight Ends,Assistant Coach (Tight Ends)
Antonio,Fenelus,FAU,Florida Atlantic University,Defensive Backs,Assistant Coach (Defensive Backs)
Stephen,Hamby,FAU,Florida Atlantic University,Offensive Line,Assistant Coach (Offensive Line)
Zach,Kittley,FAU,Florida Atlantic University,Head Football Coach,Head Coach
Brandon,Lacy,FAU,Florida Atlantic University,Ends/Rush,Assistant Coach (Edge Rushers)
DJ,McCarthy,FAU,Florida Atlantic University,Wide Receivers,Assistant Coach (Wide Receivers)
Chris,Perkins,FAU,Florida Atlantic University,Running Backs,Assistant Coach (Running Backs)
Devin,Santana,FAU,Florida Atlantic University,Defensive Tackles,Assistant Coach (Defensive Tackles)
Tyler,Schovanec,FAU,Florida Atlantic University,Special Teams Coordinator,Assistant Coach (Special Teams)
Aaron,Schwanz,FAU,Florida Atlantic University,Inside Linebacker,Assistant Coach (Inside Linebackers)
Matt,Wiesner,FAU,Florida Atlantic University,Director of Scouting/NFL Liaison,"Director of Scouting, NFL Liaison"
Jelani,Berassa,FIU,Florida International University,Assistant Coach - Wide Receivers,Assistant Coach (Wide Receivers)
Dominique,Bowman,FIU,University of Memphis,Defensive Backs/Safeties,"Assistant Coach (Defensive Backs, Safeties)"
Nick,Coleman,FIU,Florida International University,Offensive Coordinator/Quarterbacks Coach,"Assistant Coach (Offensive Coordinator, Quarterbacks)"
Tim,Conner,FIU,University of Cincinnati,Special Teams Coordinator,Assistant Coach (Special Teams)
Kevin,Decker,FIU,University of Memphis,Offensive Coordinator/Quarterbacks,"Assistant Coach (Offensive Coordinator, Quarterbacks)"
Jovan,Dewitt,FIU,Florida International University,Assistant Head Coach/Defensive Coordinator,Assistant Head Coach (Defensive Coordinator)
Aaron,Dobson,FIU,University of Memphis,Wide Receivers,Assistant Coach (Wide Receivers)
Anthony,Gaitor,FIU,Florida International University,Assistant Coach - Cornerbacks,Assistant Coach (Cornerbacks)
Kenneth,Gilstrap,FIU,Florida International University,Special Teams Coordinator - Safeties,"Assistant Coach (Safeties, Special Teams)"
Christian,Gomez,FIU,Florida International University,Graduate Assistant,Graduate Assistant
Charles,Huff,FIU,University of Memphis,Head Football Coach,Head Coach
Benedick,Hyppolite,FIU,Florida International University,Assistant Coach - Running Backs,Assistant Coach (Running Backs)
Khadry,Jackson,FIU,Florida International University,Graduate Assistant,Graduate Assistant
Andy,Kwon,FIU,University of California - Los Angeles - UCLA,Offensive Line,Assistant Coach (Offensive Line)
Telly,Lockette,FIU,University of Memphis,Assistant Head Coach/Running Backs,Assistant Head Coach (Running Backs)
Eric,Mathies,FIU,University of Memphis,Defensive Line,Assistant Coach (Defensive Line)
Edwin,Pata,FIU,Florida International University,Assistant Coach - Offensive Line,Assistant Coach (Offensive Line)
Solomon,Perez,FIU,Florida International University,Graduate Assistant,Graduate Assistant
Frank,Ponce,FIU,Florida International University,Associate Head Coach/Tight Ends,Associate Head Coach (Tight Ends)
Willie,Simmons,FIU,Florida International University,Head Coach,Head Coach
Ryan,Smith,FIU,Florida International University,Assistant Coach - Linebackers,Assistant Coach (Linebackers)
David,Weeks,FIU,University of Memphis,Co-Offensive Coordinator/Tight Ends,"Assistant Coach (Co-Offensive Coordinator, Tight Ends)"
Ricky,Brown,Navy,United States Naval Academy,Special Teams Coordinator/Outside Linebackers,"Assistant Coach (Outside Linebackers, Special Teams)"
David,Cole,Navy,United States Naval Academy,Snipes,Assistant Coach (Snipes)
Drew,Cronic,Navy,United States Naval Academy,Offensive Coordinator,Assistant Coach (Offensive Coordinator)
Robert,Green,Navy,United States Naval Academy,Cornerbacks,Assistant Coach (Cornerbacks)
Jay,Guillermo,Navy,United States Naval Academy,Offensive Line,Assistant Coach (Offensive Line)
Jerrick,Hall,Navy,United States Naval Academy,Defensive Running Game Coordinator/Defensive Line,"Assistant Coach (Defensive Line, Defensive Running-Game Coordinator)"
Ivin,Jasper,Navy,United States Naval Academy,Quarterbacks/Running Backs,"Assistant Coach (Quarterbacks, Fullbacks)"
Tommy,Laurendine,Navy,United States Naval Academy,Offensive Line,Assistant Coach (Offensive Line)
Eric,Lewis,Navy,United States Naval Academy,Defensive Passing Game Coordinator/Safeties,"Assistant Coach (Safeties, Defensive Pass-Game Coordinator)"
Brian,Newberry,Navy,United States Naval Academy,Head Coach,Head Coach
Va'a,Niumatalolo,Navy,United States Naval Academy,Defensive Line,Assistant Coach (Defensive Line)
P.J.,Volker,Navy,United States Naval Academy,Defensive Coordinator/Linebackers,"Assistant Coach (Defensive Coordinator, Linebackers)"
Jon,Williams,Navy,United States Naval Academy,Tight Ends,Assistant Coach (Tight Ends)
Brenten,Wimberly,Navy,United States Naval Academy,Linebackers,Assistant Coach (Linebackers)
Mick,Yokitis,Navy,United States Naval Academy,Wide Receivers,Assistant Coach (Wide Receivers)
Ben,Black,North Texas,Illinois State University,Assistant Coach/Defensive Line,Assistant Coach (Defensive Line)
Jevaughn,Codlin,North Texas,University of Notre Dame,Assistant Coach/Safeties,Assistant Coach (Defensive Line)
Jeff,Crosby,North Texas,Appalachian State University,Special Teams Coordinator,Assistant Coach (Special Teams)
Corey,Jordan,North Texas,University of Texas - San Antonio,Assistant Coach/Cornerbacks,Assistant Coach (Safeties)
BJ,Johnson,Tulsa,Georgia Southern University,Wide Receivers Coach,Assistant Coach (Outside Wide Receivers)
Hindley,Brigham,UAB,University of Louisiana - Monroe,Assistant Coach,"Assistant Coach (Running Backs, Running-Game Coordinator)"
Jonathan,Celestin,UAB,University of Alabama - Birmingham,Linebackers,Assistant Coach (Linebackers)
Kevin,Garver,UAB,University of Alabama - Birmingham,Wide Receivers/Pass Game Coordinator,"Assistant Coach (Wide Receivers, Passing-Game Coordinator)"
Luke,Godsey,UAB,University of Alabama - Birmingham,Assistant Quarterbacks Coach,Assistant Coach (Quarterbacks)
Lyle,Henley,UAB,University of Alabama - Birmingham,Assistant Head Coach/Director of Sports Performance,Assistant Head Coach
Reilly,Jeffers,UAB,University of Alabama - Birmingham,Tight Ends/Recruiting Coordinator - Offense,"Recruiting Coordinator (Offense), Assistant Coach (Tight Ends)"
John,Jones,UAB,University of Alabama - Birmingham,Special Teams Coordinator/Defensive Ends,"Assistant Coach (Defensive Ends, Special Teams)"
Matt,McCants,UAB,University of Alabama - Birmingham,Offensive Line,Assistant Coach (Offensive Line)
Sam,Mills III,UAB,University of Alabama - Birmingham,Defensive Line,Assistant Coach (Defensive Line)
Danny,Mitchell,UAB,University of Alabama - Birmingham,Running Backs/Run Game Coordinator,"Assistant Coach (Running Backs, Running-Game Coordinator)"
Alex,Mortensen,UAB,University of Alabama - Birmingham,Head Coach,Head Coach
Gordon,Steele,UAB,University of Alabama - Birmingham,Assistant Offensive Line Coach,Assistant Coach (Offensive Line)
Brent,Vieselmeyer,UAB,University of Alabama - Birmingham,Secondary/Pass Game Coordinator,"Assistant Coach (Defensive Backs, Passing Game Coordinator)"
Josh,Aldridge,USF,University of South Florida,Defensive Coordinator/Inside Linebackers,"Assistant Coach (Defensive Coordinator, Inside Linebackers)"
Tim,Beck,USF,University of South Florida,Offensive Coordinator,Assistant Coach (Offensive Coordinator)
Elijah,Brooks,USF,University of South Florida,Running Backs Coach,Assistant Coach (Running Backs)
Chad,Creamer,USF,University of South Florida,Special Teams Coordinator/Outside Linebackers Coach,"Assistant Coach (Outside Linebackers, Special Teams)"
Mike,Hartline,USF,University of South Florida,Quarterbacks Coach,Assistant Coach (Quarterbacks)
Brian,Hartline,USF,University of South Florida,Head Football Coach,Head Coach
Keith,Jones Jr.,USF,Appalachian State University,Defensive Line Coach,Assistant Coach (Defensive Line)
James,Rowe,USF,University of South Florida,Cornerbacks Coach,"Assistant Coach (Safeties, Defensive Pass-Game Coordinator)"
Mike,Sollenne,USF,University of South Florida,Run Game Coordinator/Offensive Line Coach,"Assistant Coach (Offensive Line, Offensive Running-Game Coordinator)"
Danny,Verpaele,USF,University of South Florida,Safeties Coach,Assistant Coach (Safeties)
Myles,White,USF,University of South Florida,Wide Receivers Coach,Assistant Coach (Wide Receivers)
Rick,Bowie,UTSA,Western Kentucky University,Offensive Coordinator,"Assistant Coach (Offensive Coordinator, Quarterbacks)"
Zach,Brown,UTSA,University of Texas - San Antonio,Special Teams Coordinator/Nickels,"Assistant Coach (Nickelbacks, Special Teams)"
Nick,Graham,UTSA,University of Texas - San Antonio,Assistant Head Coach/Cornerbacks,Assistant Head Coach (Cornerbacks)
Jess,Loepp,UTSA,University of Texas - San Antonio,Defensive Coordinator/Safeties,"Assistant Coach (Defensive Coordinator, Safeties)"
Tommie,Robinson,UTSA,University of Texas - San Antonio,Running Backs/NFL Liaison,"Assistant Coach (Running Backs), NFL Liaison"
Galen,Scott,UTSA,University of Texas - San Antonio,Defensive Pass Game Coordinator/Linebackers,"Assistant Coach (Linebackers, Defensive Passing-Game Coordinator)"
Jeff,Traylor,UTSA,University of Texas - San Antonio,Head Coach,Head Coach
Kurt,Traylor,UTSA,University of Texas - San Antonio,Run Game Coordinator/Offensive Line,"Assistant Coach (Offensive Line, Running-Game Coordinator)"
Adrian,Klemm,Boston College,University of Southern California,Associate Head Coach,Assistant Coach (Defense)
Andrew,Browning,California,University of California - Berkeley,Inside Linebackers,"Assistant Coach (Defensive Line, Defensive Running-Game Coordinator)"
Angus,McClure,California,California State University - Sacramento,Offensive Line,Associate Head Coach (Offensive Line)
Matt,Guerrieri,Clemson,Ohio State University,Defensive Ends,"Assistant Coach (Safeties, Passing-Game Coordinator"
Matt,Guerrieri,Duke,Ohio State University,Defensive Coordinator,"Assistant Coach (Safeties, Passing-Game Coordinator"
Alex,Atkins,Florida State,Louisiana State University (LSU),Offensive Line,"Assistant Coach (Tight Ends, Running-Game Coordinator)"
Buster,Faulkner,Georgia Tech,University of Florida,Offensive Coordinator,Assistant Coach (Offensive Coordinator)
Travaris,Robinson,Georgia Tech,University of Georgia,Defensive Backs,"Assistant Coach (Co-Defensive Coordinator, Safeties)"
Josh,Crawford,Louisville,University of Georgia,Offensive Coordinator,Assistant Coach (Running Backs)
Kenny,Guiton,Louisville,University of Wisconsin,Running Backs,Assistant Coach (Quarterbacks)
Derek,Nicholson,Louisville,University of Missouri,Linebackers,Assistant Coach (Linebackers)
Joe,Rudolph,Louisville,University of Notre Dame,Offensive Line,Assistant Coach (Offensive Line)
